death_cat,sex_cat,age_years,fx,n,prop,cume_prop
Non-cancer,Male,21,0.0556289996309591,63206,0.0028889667942048804,0.033206892091335705
Non-cancer,Male,22,0.06469709618227525,63978,0.0029242527222042188,0.03613114481353993
Non-cancer,Male,23,0.07224212361688567,64205,0.002934628247665164,0.03906577306120509
Non-cancer,Male,24,0.07902997701835508,64975,0.00296982276134326,0.04203559582254835
Non-cancer,Male,25,0.08561254090818986,64876,0.0029652977524417907,0.04500089357499014
Non-cancer,Male,26,0.09211547065243064,65440,0.002991076591031981,0.04799197016602212
Non-cancer,Male,27,0.09779504129335938,65973,0.003015438507642923,0.051007408673665044
Non-cancer,Male,28,0.10279619302891482,66541,0.0030414001748755967,0.05404880884854064
Non-cancer,Male,29,0.1070165692457505,67580,0.003088889914760716,0.05713769876330135
Non-cancer,Male,30,0.10889846786565852,68023,0.0031091381869157767,0.06024683695021713
Non-cancer,Male,31,0.10900398258662092,69430,0.0031734481619093893,0.06342028511212652
Non-cancer,Male,32,0.10514395255006061,70231,0.0032100595975667334,0.06663034470969326
Non-cancer,Male,33,0.09881422948057204,72333,0.0033061360491918744,0.06993648075888513
Non-cancer,Male,34,0.09133568438906195,75332,0.0034432118238939668,0.0733796925827791
Non-cancer,Male,35,0.08274520828374114,78171,0.003572974452896714,0.07695266703567581
Non-cancer,Male,36,0.07351819765685198,80856,0.0036956981791638425,0.08064836521483965
Non-cancer,Male,37,0.06416089597396762,85818,0.00392249711016477,0.08457086232500442
Non-cancer,Male,38,0.054630989098228715,89931,0.00411049066179855,0.08868135298680298
Non-cancer,Male,39,0.04562035782080747,94824,0.004334135798716635,0.0930154887855196
Non-cancer,Male,40,0.038047394715906284,100883,0.004611075484918694,0.0976265642704383
Non-cancer,Male,41,0.030798253412718673,106888,0.004885546984447224,0.10251211125488552
Non-cancer,Male,42,0.024861280545961675,113580,0.005191419303322316,0.10770353055820785
Non-cancer,Male,43,0.019907608495342413,120934,0.005527549762528447,0.11323108032073628
Non-cancer,Male,44,0.01594921268790583,129746,0.005930321261919856,0.11916140158265615
Non-cancer,Male,45,0.012702791435337542,138585,0.00633432685464803,0.12549572843730417
Non-cancer,Male,46,0.010030898190292924,149648,0.006839985172597094,0.13233571360990126
Non-cancer,Male,47,0.00793725466720812,160303,0.007326994969012831,0.1396627085789141
Non-cancer,Male,48,0.00628955972456538,171177,0.007824014633604544,0.14748672321251866
Non-cancer,Male,49,0.004998087592061977,181980,0.008317789089792174,0.15580451230231082
Non-cancer,Male,50,0.003926910618318337,193202,0.008830714846279963,0.16463522714859077
