race_cat,cause,year,cume_median,cume_lower95,cume_upper95
Total,cancer,2003,305390.06895573763,292974.4096146853,318033.8001503281
Total,cancer,2004,365520.76300274394,350957.4878871059,380224.54286096443
Total,cancer,2005,426148.77593175037,409495.91783977713,443045.4297728571
Total,cancer,2006,486166.01435383904,467530.50245031784,505070.9389909229
Total,cancer,2007,545258.8559235559,524818.673780458,566118.5392676122
Total,cancer,2008,604218.8290636829,581823.6518609422,627025.2850501161
Total,cancer,2009,663493.1251679958,639180.4473045376,688351.5129674444
Total,cancer,2010,721958.1388891878,695737.8578910659,748732.3527604012
Total,cancer,2011,779901.2602782403,751749.446466337,808621.317888903
Total,cancer,2012,837631.0566094232,807630.4193280531,868260.8337333578
Total,cancer,2013,894948.4878141969,863097.935284641,927453.66463472706
Total,cancer,2014,952119.4520234033,918430.5903966037,986469.5861975162
Total,cancer,2015,1008627.843791796,973133.6188300975,1044746.0430239254
Total,cancer,2016,1065049.164578555,1027716.7654977383,1103037.0380626668
Total,cancer,2017,1120635.3543709195,1081496.6227745006,1160463.4605370557
Total,cancer,2018,1175079.5166337688,1134177.0817503193,1216792.1694306023
Total,cancer,2019,1228748.2392133297,1186090.2710707905,1272161.8396829527
Total,cancer,2020,1282172.5938513977,1237822.4457359824,1327412.2386490668
